MS_IMP_SEG,YR_BUILT
R2033997.1.1,1960
R2034755.1.1,1994
R2035029.1.4,1971
R2035029.1.5,1971
R2035029.2.1,1971
R2035031.1.1,1999
R2035031.2.1,1999
R2035031.2.2,1999
R2035251.1.1,2008
R2035305.2.1,1943
R2035321.1.1,1980
R2035525.1.1,1994
R2035624.1.1,1995
R2035626.1.1,1995
R203568.1.1,1963
R2036165.1.1,1983
R2036165.2.1,1990
R2036165.3.1,2004
R2036283.1.1,1980
R2036284.1.1,1985
R2036292.1.1,1993
R2036293.1.1,2000
R2036293.2.1,2000
R2036293.3.1,2000
R2036365.1.1,1998
R2036366.1.1,1996
R2036370.1.1,2001
R2036370.3.1,2004
R2036370.4.1,2004
R2036844.1.1,1994
R2036844.2.1,1994
R2036844.3.1,1994
R2036844.4.1,1994
R2036844.5.1,1994
R2036844.6.1,1994
R2036844.6.4,1994
R2036844.7.1,1994
R2036844.8.1,1994
R2037428.1.1,1994
R2037429.1.1,1961
R2037429.2.1,1961
R2037429.3.1,1992
R2037429.4.1,1972
R2037429.5.1,2000
R2037429.6.1,1998
R2037429.7.1,2005
R2037429.8.1,2005
R2037429.9.1,1993
R2037601.1.1,1997
R2037718.1.1,1993
R2037719.2.1,1988
R2037720.1.1,1925
R2037721.1.1,1890
R2041011.1.1,1984
R2041012.1.1,1982
R2041014.1.1,1994
R2041015.1.1,1993
R2041016.1.1,1996
R204102.1.1,1993
R2041020.1.1,1996
R2041020.2.1,1997
R2041020.3.1,1996
R2041021.1.1,1996
R2041022.1.1,1996
R2041022.2.1,1996
R2041099.1.1,2006
R204139.1.1,1979
R204148.1.1,1967
R204157.1.1,1982
R204166.1.1,1982
R204175.1.1,1967
R2041891.1.1,1994
R2042604.1.8,1994
R2043468.1.1,1977
R2043468.2.1,1995
R2043470.1.1,1995
R2043470.1.2,1995
R2043470.2.1,1995
R2043470.2.2,1995
R2043470.4.1,2007
R2043890.1.1,1970
R2044028.1.1,2000
R2044028.2.1,2000
R204460.1.1,1979
R2044620.1.1,1900
R2044620.1.3,1900
R2044632.1.1,1990
R2044632.1.2,1990
R2044851.1.1,1974
R2044851.2.1,1972
R2044904.1.1,1999
R2045167.1.1,2009
R2045357.2.1,1995
R2045357.3.1,1996
R2045371.1.1,1997
R2045372.1.1,1979
R2045892.1.1,1995
R2045946.1.1,1993
R2045947.1.1,1995
R2046297.1.1,1995
R2046300.1.1,1997
R2046301.1.1,2003
R2046302.1.1,1997
R2046307.1.1,1999
R2046307.2.1,1999
R2046357.1.1,1996
R2046358.1.1,1988
R2046362.1.1,1999
R2046366.1.1,2005
R2046366.1.5,2005
R2046369.1.1,1997
R2046371.1.1,1986
R2046377.1.1,2003
R2046379.1.1,1998
R2046380.1.1,1997
R2046380.1.3,1997
R2046381.1.1,1999
R2046909.1.1,2000
R2046913.1.1,1995
R2046914.1.1,1995
R2048745.1.1,1967
R2048745.1.2,1967
R2049220.1.1,1984
R2049323.1.1,1959
R2049642.1.1,1998
R2049643.1.1,1996
R2049817.1.1,1995
R2049965.1.1,1996
R2049968.1.1,1995
R2049969.1.1,1995
R2049971.1.1,1995
R2050028.1.1,1996
R2050035.1.1,1982
R2050036.1.1,1982
R2050355.1.1,2005
R2050600.1.1,2003
R2050600.1.2,2003
R2050600.2.1,2003
R2051431.1.1,1998
R2051435.1.1,2000
R2051443.1.1,1998
R2051459.1.1,1999
R2051562.1.1,1979
R2051563.1.1,1979
R2052951.1.1,1995
R2052952.2.1,1968
R2053193.1.1,1998
R2053194.1.1,1996
R2053313.1.1,1996
R2053314.1.1,1994
R2054123.1.1,2010
R2054123.2.1,2010
R2054128.1.1,1996
R2054129.1.1,2006
R2054289.1.1,2008
R205432.1.1,1970
R205432.1.2,1970
R2054361.1.1,1995
R2054530.1.1,1996
R2054530.1.2,1996
R2054530.1.3,1996
R2054538.1.1,1997
R2055492.1.1,1997
R2056004.1.1,2009
R2056004.1.2,2013
R2056004.1.3,2013
R2056004.1.4,2009
R2056016.1.1,1998
R2056019.1.1,1980
R2056020.1.1,1980
R2056720.1.1,1960
R2056745.1.1,2001
R2057052.1.1,2000
R2057324.1.1,1996
R2057383.1.1,1997
R2057703.1.1,1996
R2057703.1.2,1996
R2057703.1.3,1996
R2057703.1.4,1996
R2057703.1.5,1996
R2057703.1.6,1996
R2057705.1.1,2000
R2057705.1.2,2000
R2057705.1.3,2000
R2057705.1.6,2000
R2058094.1.1,2008
R2058095.1.1,1997
R2058297.1.1,1996
R2058298.1.1,1997
R2058299.1.1,1996
R2058300.1.1,1997
R2058300.2.1,1997
R2058300.3.1,1997
R2058301.1.1,2000
R2058491.1.1,1997
R2058493.1.1,2000
R2058954.1.1,2007
R2058954.2.1,1997
R2059860.1.1,1996
R2059944.1.1,2007
R2059945.1.1,2005
R2059947.1.1,1997
R2059950.2.1,1997
R2059950.3.1,1998
R2059960.1.1,2004
R2061859.1.1,1996
R2062067.1.1,1995
R2062069.1.1,1997
R2062070.1.1,1995
R2062070.2.1,1995
R2062805.1.1,1997
R2064014.1.1,1997
R2064146.1.1,1997
R2064147.1.1,1999
R2064147.1.6,1999
R2064149.1.1,1969
R2064150.1.1,1999
R2064150.2.1,1999
R2064150.3.1,1999
R206459.1.1,1969
R206459.1.4,1969
R206468.1.1,1981
R206468.1.3,1981
R2065551.1.1,1997
R2065736.2.1,2006
R2065736.3.1,2008
R2065763.1.1,1928
R2065763.1.2,1928
R2065772.1.1,1999
R2065773.1.1,1999
R2066733.1.1,1995
R2066734.1.1,1988
R2067250.1.1,1997
R2067717.1.1,1997
R2067779.1.1,1997
R2068060.1.1,2001
R2068152.1.1,1977
R2068152.2.1,1978
R2068284.1.1,1991
R2068398.1.1,1997
R2068399.1.1,2000
R2068919.1.1,1998
R2068920.1.1,2000
R2069699.1.1,1998
R2069809.1.1,2002
R2069826.1.1,1999
R2069829.1.1,1999
R2070070.1.1,2005
R2070072.1.1,1999
R2070072.2.1,1999
R2070077.1.1,2004
R2070078.1.1,2006
R2070078.2.1,2006
R2070078.3.1,2009
R2070079.1.1,2001
R2070083.1.1,2005
R2070148.1.1,1998
R2070149.1.1,1999
R2070267.1.1,1997
R2070269.1.1,1996
R2070270.1.1,1996
R2072303.1.1,2001
R2072303.1.2,2001
R2072692.1.1,1998
R2072693.1.1,1998
R2072705.1.1,2007
R2072705.1.11,2012
R2072705.1.12,2013
R2072705.1.13,2013
R2072705.1.14,2013
R2072705.1.15,2013
R2072705.1.16,2014
R2072705.1.17,2014
R2072705.1.18,2014
R2072705.1.19,2014
R2072705.1.2,2007
R2072705.1.3,2007
R2072705.1.4,2007
R2072705.1.5,2007
R2072705.1.6,2007
R2072705.1.7,2007
R2072705.1.8,2007
R2072705.1.9,2007
R2072903.1.1,1992
R2072904.1.1,1982
R2073688.1.1,2006
R2073688.1.2,2006
R2073789.1.1,1965
R2073789.1.2,1965
R2074968.1.1,1997
R2074969.1.1,1997
R2074970.1.1,1997
R2075535.1.1,1999
R2075536.1.1,1998
R2075537.1.1,1998
R2075538.1.1,1999
R2075563.1.1,1973
R2075563.2.1,1945
R2075564.1.1,1973
R2075574.1.1,1999
R2075576.1.1,1996
R2075591.1.1,1999
R2075598.2.1,2005
R2075598.4.1,2005
R2076220.1.1,2001
R2076220.2.1,2001
R2076221.1.1,2001
R2076272.1.1,1974
R2076272.1.2,1974
R2076272.1.3,1974
R2076435.1.1,1996
R2076435.1.2,1996
R2076684.1.1,1999
R2076686.1.1,2006
R2076686.2.1,2006
R2076686.3.1,2008
R2076686.4.1,2007
R2076701.1.1,1978
R2076702.1.1,1971
R2076742.1.1,2006
R2076746.1.1,1994
R2076746.1.2,1994
R2077082.1.1,1999
R2077083.1.1,2005
R2077084.1.1,2001
R2077475.1.1,1998
R2077475.1.2,1998
R2077491.1.1,1936
R2077496.1.1,1999
R2077496.2.1,1996
R2077503.1.1,1968
R2077980.1.1,2001
R2078079.1.1,1999
R2078342.1.1,2001
R2078346.1.1,2002
R2078346.1.11,2001
R2078618.1.1,1998
R2078809.1.1,1999
R2078811.1.1,2012
R2078823.1.1,1991
R2078823.2.1,1981
R2078823.3.1,2001
R2078823.4.1,1988
R2078839.1.1,1989
R2079049.1.1,1996
R2079521.1.1,1949
R2079521.1.2,1955
R2079747.1.1,1982
R2080066.1.1,1974
R2080066.10.1,1962
R2080066.11.1,1989
R2080066.12.1,1972
R2080066.13.1,1975
R2080066.14.1,1967
R2080066.15.1,1964
R2080066.16.1,1967
R2080066.17.1,1989
R2080066.18.1,1975
R2080066.19.1,1980
R2080066.2.1,2008
R2080066.20.1,2006
R2080066.21.1,1966
R2080066.22.1,1961
R2080066.23.1,1985
R2080066.24.1,1966
R2080066.3.1,1962
R2080066.4.1,1993
R2080066.5.1,1991
R2080066.6.1,2004
R2080066.7.1,1999
R2080066.8.1,1962
R2080066.9.1,1976
R2080652.1.1,1999
R2080653.1.1,1933
R2080653.1.3,1933
R2080653.1.4,1933
R2080720.1.1,2014
R2080730.1.1,2000
R2080730.2.1,2000
R2080730.3.1,2000
R2080730.4.1,2000
R2080730.5.1,2000
R2080730.6.1,2000
R2080730.7.1,2000
R2080730.8.1,2000
R2080730.9.1,2000
R2080730.9.2,2000
R2080731.1.1,2008
R2081185.1.1,2002
R2081676.1.1,1998
R2081677.1.1,2005
R2081680.1.1,2003
R2081681.1.1,1999
R2081780.1.1,2004
R2081828.1.1,1971
R2081828.1.3,1971
R2081829.1.1,2003
R2082087.1.1,1990
R2082087.2.1,1990
R2082093.1.1,1998
R2082096.1.1,1998
R2082097.1.1,2000
R2082117.1.1,1980
R2082748.2.1,2004
R2082748.3.1,1998
R2082748.4.1,2014
R2082923.1.1,2007
R208313.1.1,2000
R208313.1.2,2000
R208313.1.3,2000
R2083438.1.1,1999
R2083444.2.1,2000
R2083555.1.1,1980
R2083555.2.1,1980
R2083555.3.1,2003
R2083556.1.1,1980
R2083556.2.1,2003
R2083559.1.1,2006
R2083855.1.1,1999
R2084105.1.1,1999
R2084450.1.1,1999
R2084451.1.1,1999
R2084452.1.1,1993
R2084452.2.1,1970
R2084784.1.1,1999
R2085110.1.1,1989
R2085493.1.1,1980
R2086315.1.1,2006
R2086487.1.1,1998
R2086487.2.1,1998
R2086487.3.1,1998
R2086491.1.1,1998
R2086702.1.1,1998
R2086702.1.2,1998
R2086702.1.3,1998
R2086702.1.4,1998
R2086708.1.1,1999
R2087159.1.1,1999
R2087161.1.1,1999
R2087163.1.1,2012
R2087171.1.1,2014
R2087192.1.1,2007
R2087283.1.1,2008
R2087806.1.1,1935
R2087806.1.2,1935
R2087807.1.1,1991
R2087807.1.2,1991
R2088940.1.1,1999
R2088941.1.1,2001
R2088942.1.1,2001
R2088947.1.1,2000
R2088980.1.1,2004
R2088981.1.1,2004
R2088983.1.1,1961
R2088984.1.1,1974
R2088985.1.1,1960
R2089126.1.1,1998
R2089127.1.1,1998
R2089128.1.1,1998
R2089140.1.1,1998
R2089141.1.1,1998
R2089142.1.1,1998
R2089143.1.1,1998
R2089155.1.1,1998
R2089406.1.1,2004
R2089651.1.1,2001
R2089953.1.1,2002
R2089954.1.1,2000
R2089977.1.1,2001
R2090311.1.1,1999
R2090312.1.1,1998
R2090313.1.1,2008
R2090313.2.1,2008
R2090313.3.1,2008
R2090313.4.1,2008
R2090316.1.1,2008
R2090316.2.1,2008
R2090318.1.1,2003
R2090319.1.1,2013
R2090320.1.1,2013
R2090321.1.1,2012
R2090384.1.1,1997
R2090978.1.1,1981
R2091060.1.1,2000
R2091060.2.1,2005
R2091060.3.1,2006
R2091393.1.1,1994
R2091666.1.1,2000
R2091668.1.1,2000
R2091797.1.1,1977
R2091927.1.1,1981
R2091928.1.1,1981
R2092210.1.1,1999
R2092211.1.1,1999
R2092212.1.1,2001
R2092214.1.1,1999
R2092318.1.1,2002
R2092451.1.1,1999
R2092451.1.2,1999
R2092501.1.1,2008
R2092501.1.2,1973
R2093429.1.1,1980
R2093430.1.1,2000
R2093438.1.1,2006
R2093441.1.1,1997
R2095325.1.1,1978
R2095485.1.1,2014
R2095502.1.1,1950
R2095513.1.1,1999
R2096278.1.1,2009
R2096942.1.1,2001
R2096944.1.1,2001
R2096945.1.1,2006
R2097153.2.1,2007
R2097162.1.1,2001
R2097163.1.1,2001
R2097180.1.1,2005
R2098190.1.1,2001
R2098193.1.1,2005
R2098193.2.1,2005
R2098193.3.1,2005
R2098193.4.1,2005
R2098246.1.1,2006
R2098362.1.1,1998
R2098941.2.3,2009
R2099451.1.1,2001
R2099452.1.1,2010
R2099453.1.1,2002
R2100067.1.1,1995
R2100069.1.1,2002
R2100236.1.1,2001
R2100596.1.1,1959
R2100596.1.3,1959
R2100597.1.1,2001
R2100597.2.1,2001
R2100764.1.1,2001
R2101478.1.1,2001
R2101688.1.1,1998
R2102510.1.1,1985
R2102752.1.1,2002
R2103808.1.1,2002
R2104042.1.1,2000
R2104043.1.1,2000
R2104044.1.1,2008
R2105440.1.1,2003
R2105440.1.2,2003
R2105440.1.3,2003
R2105440.1.4,2003
R2105440.1.5,2003
R2106322.1.1,2000
R2106649.1.1,2000
R2106693.1.1,2002
R2106694.1.1,2002
R2106695.1.1,2002
R2106697.1.1,2001
R2108438.1.1,2001
R2108439.1.1,2001
R2108565.1.1,2003
R2108565.1.2,2003
R2109730.1.1,2005
R2109731.1.1,2009
R2109732.1.1,2003
R2109733.1.1,2003
R2109735.1.1,2002
R2109868.1.1,2001
R210998.1.1,1994
R210998.2.1,1972
R210998.2.2,1972
R210998.2.3,1972
R210998.3.1,1981
R2110509.1.1,2001
R2110766.1.1,2005
R2110766.2.1,2005
R2110766.3.1,2006
R2110766.4.1,2000
R2110766.5.1,2000
R2110771.1.1,2002
R2110772.1.1,2003
R2110902.1.1,2001
R2110905.1.1,1987
R2111135.1.1,2009
R2111135.1.2,2009
R2111136.1.1,1978
R2111428.1.1,2008
R2111685.1.1,1981
R2111979.1.1,2002
R2111979.2.1,2002
R2111980.1.1,2002
R2111991.1.1,2001
R2112197.1.1,1970
R2112199.1.1,1955
R2112199.1.2,1955
R2115092.1.1,2006
R2115092.2.1,2006
R2115224.1.1,1940
R2115224.1.2,1940
R2116619.1.1,2005
R2116620.2.1,2008
R2116620.3.1,2012
R2116621.2.1,2004
R2116621.3.1,2014
R2116795.2.1,2002
R2116795.3.1,2002
R2117013.1.1,2003
R2117014.1.1,2006
R2117015.1.1,2002
R2117138.1.1,2001
R2117770.1.1,1999
R2118166.1.1,2000
R2118326.1.1,2003
R2118353.1.1,2003
R2118354.1.1,2003
R2119802.1.1,2002
R2119904.1.1,2004
R2119906.1.1,2005
R2120264.1.1,1978
R2120512.2.1,2003
R2120513.2.1,2011
R2120514.1.1,2005
R2120514.2.1,2006
R2121435.1.1,2002
R2121777.1.1,1915
R2121777.1.2,1915
R2121784.1.1,2003
R2121784.1.3,2003
R2121784.1.4,2003
R2123686.1.1,2006
R2123686.1.2,2006
R2123686.1.3,2006
R2123735.1.1,1985
R2124135.1.1,1987
R2124268.1.1,2004
R2124270.1.1,1980
R2124500.1.1,2005
R2124500.1.2,2005
R2124500.1.3,2005
R2124501.2.1,2005
R2125140.1.1,1996
R2125140.1.2,1996
R2125775.2.1,1988
R2125776.1.1,2007
R2125779.1.1,2004
R2126135.1.1,2003
R2126243.1.1,2001
R2126244.1.1,2001
R2126694.1.1,2005
R2126694.1.4,2005
R2126694.2.1,2005
R2126915.1.1,1999
R2126916.1.1,2006
R2128451.1.1,1937
R2128451.1.3,1937
R2128657.1.1,1922
R2128660.1.1,2005
R2128660.2.1,2005
R2128660.3.1,2005
R2128678.1.1,1972
R2128678.1.3,1972
R2128768.2.1,2006
R2129051.1.1,2002
R212914.2.1,1940
R2129280.1.1,1996
R2129281.1.1,2005
R2129283.1.1,2005
R2129285.1.1,1997
R2129286.1.1,2006
R212932.1.1,1964
R212932.2.1,1978
R2129598.1.1,2011
R2129598.2.1,2011
R2129599.1.1,2009
R2129828.1.1,1963
R2129829.1.1,1963
R2129830.1.1,1962
R2129831.1.1,1962
R2129832.1.1,1962
R2129834.1.1,1979
R2129835.1.1,1979
R2130428.1.1,1979
R2130429.1.1,1979
R2131270.1.1,2007
R2131271.1.1,2007
R2132493.1.1,2002
R2132498.1.1,2005
R2132498.1.2,2005
R2132528.1.1,2005
R2132883.3.1,1989
R2134120.1.1,2007
R2135957.1.1,2006
R2135958.1.1,2001
R2135963.1.1,2006
R2135963.1.2,2006
R2136159.1.1,2005
R2136160.1.1,2005
R2136171.1.1,2005
R2136172.1.1,2005
R2136183.1.1,2005
R2136184.1.1,2005
R2136192.1.1,1975
R2136329.1.1,2005
R2136329.1.2,2005
R2136329.1.3,2005
R2136913.1.1,1930
R2137427.1.1,2003
R2137428.1.1,2003
R2137429.1.1,2003
R2138049.1.1,2005
R2138967.1.1,1979
R2138968.1.1,1979
R2138969.1.1,1979
R2138970.1.1,1979
R2138971.1.1,1979
R2138972.1.1,1979
R2138973.1.1,1979
R2138974.1.1,1979
R2138975.1.1,1979
R2138976.1.1,1979
R2138977.1.1,1979
R2138978.1.1,1979
R2138979.1.1,1979
R2138980.1.1,1979
R2138982.1.1,1993
R2138983.1.1,1993
R2138984.1.1,2010
R2138984.1.2,2010
R2138984.1.3,2010
R2138984.1.4,2010
R2139916.1.1,1998
R2139917.1.1,1998
R2139918.1.1,2005
R2139930.1.1,1998
R2140647.1.1,2005
R2141517.1.1,2006
R2141829.1.1,2002
R2141830.1.1,2002
R2141833.1.1,2008
R2141837.1.1,2008
R2141909.1.1,2002
R2141910.1.1,2002
R2141911.1.1,2002
R2141912.1.1,2002
R2141913.1.1,2002
R2141914.1.1,2002
R2141915.1.1,2002
R2141916.1.1,2002
R2141917.1.1,2002
R2141918.1.1,2002
R2141919.1.1,2002
R2141920.1.1,2002
R2142213.1.1,2004
R2142214.1.1,2004
R2142444.1.1,2008
R2142445.1.1,2006
R2142447.1.1,2008
R2142449.1.1,2006
R2142640.1.1,2001
R2142640.1.6,2001
R2142676.1.1,1945
R2142676.1.2,1945
R2142676.1.3,1945
R2144736.1.1,2006
R2145085.1.2,1890
R2145085.1.3,1890
R2145086.1.1,1983
R2145174.1.1,2006
R2145186.1.1,2005
R2145264.1.1,2005
R2145265.1.1,2005
R2145549.1.1,1986
R2145969.1.1,1997
R2145970.1.1,1998
R2145971.1.1,1997
R2146035.1.1,2008
R2146049.1.1,1902
R2146049.1.2,1902
R214663.1.1,1977
R2146957.1.1,2006
R2146964.1.1,2006
R2146971.1.1,2006
R2146978.1.1,2006
R2146985.1.1,2006
R2146999.1.1,2006
R2147133.1.1,2000
R2147134.1.1,2005
R2147135.1.1,2006
R2148804.1.2,2004
R2149477.1.1,2010
R2149978.1.1,1900
R2149978.1.3,1900
R2150085.1.1,2006
R2150328.1.1,2005
R2150329.1.1,2005
R2150330.1.1,2005
R2150331.1.1,2005
R2150332.1.1,2005
R2152689.1.1,1986
R2152691.1.1,1985
R2152692.1.1,1985
R2152705.1.1,2006
R2152708.1.1,2008
R2153174.1.1,1971
R2153584.1.1,1993
R2153835.1.1,2007
R2153836.1.1,2007
R2153837.1.1,2007
R2153838.1.1,2007
R2153892.1.1,2008
R2153893.1.1,2008
R2154166.1.1,2007
R2156289.1.1,1930
R2157237.1.1,2001
R2157238.1.1,1983
R2157239.1.1,1971
R215760.1.1,1951
R215760.1.2,1951
R2157781.1.1,1997
R215779.1.1,1951
R215797.1.1,1980
R2158520.1.1,2008
R2158522.1.1,2008
R2158523.1.1,2008
R2158524.1.1,2008
R2158526.1.1,2008
R2158527.1.1,2008
R2158528.1.1,2008
R2158529.1.1,2008
R2158530.1.1,2008
R2158531.1.1,2008
R2158532.1.1,2008
R2158534.1.1,2008
R2158535.1.1,2008
R2158536.1.1,2008
R2158848.1.1,1997
R2158849.1.1,1997
R2159948.1.1,2008
R2159949.1.1,2008
R2160374.1.1,2007
R2160416.1.1,2008
R2160416.2.1,2009
R2160418.1.1,2008
R2160418.2.1,2008
R2161164.1.1,2007
R2161165.1.1,2007
R2161166.1.1,2007
R2161167.1.1,2007
R2161168.1.1,2007
R2161169.1.1,2007
R2161170.1.1,2007
R2161171.1.1,2007
R2161172.1.1,2007
R2161173.1.1,2007
R2161174.1.1,2007
R2161175.1.1,2007
R2161176.1.1,2007
R2161177.1.1,2007
R2161178.1.1,2007
R2161203.1.1,1989
R2161426.1.1,1992
R2161426.1.2,1992
R2161426.2.1,1992
R2161426.2.2,1992
R2161426.3.1,1992
R2161426.3.2,1992
R2161426.4.1,1992
R2161426.4.2,1992
R2161426.5.1,1992
R2161426.5.2,1992
R2161426.6.1,1992
R2161426.6.2,1992
R2161426.7.1,1992
R2161426.7.2,1992
R2161426.8.1,1992
R2161426.8.2,1992
R2161426.9.1,1992
R2161426.9.2,1992
R2162570.1.1,1980
R2162571.1.1,1980
R2162572.1.1,1980
R2162573.1.1,1980
R2162574.1.1,1980
R2162575.1.1,1980
R2162576.1.1,1980
R2162577.1.1,1980
R2162578.1.1,1980
R2162579.1.1,1980
R2162580.1.1,1980
R2162581.1.1,1980
R2162582.1.1,1980
R2162583.1.1,1980
R2162584.1.1,1980
R2162585.1.1,1980
R2162586.1.1,1980
R2162587.1.1,1980
R2162588.1.1,1980
R2162589.1.1,1980
R2162590.1.1,1980
R2162591.1.1,1980
R2162592.1.1,1980
R2162593.1.1,1980
R2162594.1.1,1980
R2162595.1.1,1980
R2162596.1.1,1980
R2162597.1.1,1980
R2162598.1.1,1980
R2162599.1.1,1980
R2162600.1.1,1980
R2162601.1.1,1980
R2162602.1.1,1980
R2162603.1.1,1980
R2162604.1.1,1980
R2162605.1.1,1980
R2162606.1.1,1980
R2162828.1.1,2009
R2163245.1.1,1984
R2163584.1.1,1900
R2163614.1.1,2005
R2163614.1.2,2005
R2163702.1.1,1975
R2164668.1.1,1970
R2164668.1.2,1970
R2164895.1.1,1976
R2164895.1.2,1976
R2165099.1.1,1980
R2165099.1.4,1980
R2165399.1.1,2008
R2165512.1.1,2010
R2165642.1.1,1949
R2165642.2.1,1940
R2166973.1.1,2009
R2167282.1.1,2008
R2168298.1.1,2008
R2168299.1.1,2008
R2168300.1.1,2008
R2168301.1.1,2008
R2168302.1.1,2008
R2168303.1.1,2008
R2168304.1.1,2008
R2168335.1.1,1935
R2168335.1.2,1935
R2168433.1.1,1972
R2168468.1.1,2002
R2168557.1.1,2008
R2168707.1.1,1912
R2168708.1.1,1912
R2169562.1.1,2006
R2169689.1.1,2009
R2169690.1.1,1998
R2169817.1.1,2009
R2169857.1.1,2008
R2169858.1.1,2008
R2169896.1.1,2008
R2169896.1.2,2008
R2170100.1.1,2012
R2170100.1.3,2012
R2170101.1.1,2012
R2170101.1.3,2012
R2170335.1.1,1975
R2170336.3.1,1981
R2171312.1.1,1989
R2171313.1.1,2008
R2171515.1.1,2010
R2172603.1.1,2000
R2172660.1.1,2009
R2173540.1.1,1992
R2173541.1.1,1956
R2173687.1.1,1994
R2174007.1.1,2011
R2174008.1.1,2011
R2174302.1.1,2012
R2174303.1.1,2011
R2174685.1.1,2011
R2175294.1.1,1970
R2175294.1.2,1970
R2176148.1.1,1969
R2177013.1.1,2012
R2177014.1.1,1998
R2177110.1.1,2004
R2177115.1.1,2014
R2177115.2.1,2014
R2177118.1.1,2012
R2177166.2.1,2000
R2177179.1.1,2009
R2177180.1.1,2009
R2177182.1.1,2010
R2177183.1.1,2010
R2177703.1.1,2012
R2178825.1.1,2011
R2178826.1.1,2011
R2178827.1.1,2011
R2178828.1.1,2011
R2179343.1.1,2000
R2179344.1.1,2000
R2179436.1.1,1950
R2179437.2.1,2013
R2180696.1.1,1993
R2181793.1.1,2012
R2181796.1.1,1961
R2181899.1.1,1991
R218240.1.1,1920
R218240.1.2,1920
R2183000.1.1,1952
R2183175.1.1,1983
R2183175.2.1,2011
R2183177.1.1,2013
R2183214.1.1,1980
R2183214.1.3,1980
R2184277.1.1,2008
R2184277.2.1,2008
R2184279.1.1,1950
R2184319.1.1,2013
R2184890.1.1,1915
R2185361.1.1,1975
R2185361.2.1,2012
R2185361.3.1,2010
R2185362.1.1,2013
R2185363.1.1,2013
R2185364.1.1,2013
R2185365.1.1,2014
R2186876.1.1,1979
R2186876.1.3,1979
R2187155.1.1,2014
R218963.1.1,1954
R219089.2.1,1925
R219089.2.2,1925
R219089.2.3,1970
R219310.1.1,1945
R219784.2.1,1998
R219846.1.1,1915
R220237.1.1,1971
R220246.1.1,1947
R2204.1.1,1988
R220594.1.1,1910
R220601.1.1,1978
R220629.1.1,1968
R220647.1.1,1979
R226197.1.1,1954
R228104.1.1,1916
R228104.1.2,1916
R228104.1.3,1916
R228630.1.1,1940
R235463.1.1,1975
R235472.1.1,1963
R235506.1.1,1961
R235506.2.1,1974
R235506.3.1,1967
R235506.4.1,1962
R235515.1.1,1980
R235524.1.1,1995
R235542.1.1,1977
R235560.1.1,1987
R235659.1.1,2008
R235702.1.1,1981
R236505.1.1,1967
R236612.1.1,1974
R236612.1.2,1974
R236658.1.1,1975
R237826.1.1,2011
R237862.1.1,1996
R238291.1.1,1956
R238291.1.2,1956
R238291.1.3,1956
R238291.2.1,1962
R238291.2.3,1962
R238781.1.1,1985
R238923.1.1,2002
R238932.1.1,2001
R238932.1.2,2001
R238950.1.1,1992
R238978.1.1,1996
R238978.1.4,1996
R239021.1.1,1989
R239021.2.1,2008
R239566.1.1,1999
R239584.1.1,1910
R239584.1.3,1910
R240046.1.1,1986
R240046.2.1,1986
R240046.3.1,1986
R240055.1.1,1978
R240331.1.1,1977
R240331.2.1,1977
R247290.1.1,2014
R247290.1.2,2014
R247290.2.1,2014
R247334.1.1,1971
R247352.1.1,1986
R250784.1.1,1970
R253282.1.1,2005
R256671.1.1,2004
R258633.1.1,1983
R258633.1.2,1983
R264877.1.1,1984
R264877.2.1,1984
R264877.3.1,1984
R264877.4.1,1984
R270717.1.1,1972
R270717.1.2,1972
R270726.1.1,1981
R270744.1.1,1965
R270753.1.1,2001
R271011.1.1,2004
R271020.1.1,1981
R271020.1.2,1981
R271075.1.1,1967
R271093.1.1,2002
R271226.1.1,1957
R27134.1.1,1975
R271486.1.1,2007
R271565.1.1,1989
R271583.1.1,1989
R271967.1.1,1988
R271967.2.1,1988
R272859.1.1,1983
R272859.1.5,1983
R272868.1.1,1971
R272877.1.1,1980
R272911.1.1,1979
R272939.1.1,1984
R273000.1.1,1920
R273000.1.2,1920
R273028.1.1,1920
R273144.1.1,1962
R273279.1.1,1978
R273304.1.1,1972
R273368.1.1,1969
R273411.1.1,1970
R273411.2.1,1970
R273439.1.1,1942
R274090.1.1,1969
R274090.1.2,1969
R274090.1.3,1969
R274090.1.4,1969
R274090.1.5,1969
R274161.2.1,1939
R275099.1.1,1952
R275133.1.1,1910
R275142.1.1,1998
R275179.1.1,1998
R275464.1.1,1998
R27553.1.1,1984
R27562.1.1,1984
R2758.1.1,1963
R276276.1.1,1975
R276285.1.1,1989
R276294.2.1,1956
R276301.1.1,1989
R276828.1.1,1934
R276855.1.1,1968
R276873.1.1,1930
R276873.1.2,1930
R276882.1.1,1927
R276882.1.2,1927
R276882.1.3,1927
R276891.1.1,1920
R276891.1.3,1920
R276935.1.1,1978
R276962.1.1,1930
R276962.1.2,1960
R276971.1.1,1970
R276999.1.1,1939
R277319.1.1,1968
R277319.2.1,1968
R277319.3.1,1968
R277328.1.1,1964
R277346.1.1,1966
R277426.1.1,1968
R277435.1.1,1928
R277435.2.1,1936
R277435.2.2,1936
R277444.1.1,1949
R277462.1.1,1976
R278602.1.1,1946
R278602.1.2,1946
R278620.1.1,1946
R278620.1.2,1946
R279282.1.1,1984
R279326.1.1,1975
R279335.1.1,1975
R279497.1.1,1971
R279512.1.1,1969
R279521.1.1,1971
