MS_IMP_SEG,YR_BUILT
R116118.1.1,1959
R116136.1.1,1963
R116145.1.1,1963
R1161673.1.1,1963
R116172.1.1,1966
R116181.1.1,1963
R1161986.1.1,1994
R1161986.1.10,1994
R1161986.1.11,1994
R1161986.1.2,1994
R1161986.1.3,1994
R1161986.1.4,1994
R1161986.1.6,1994
R116207.1.1,1950
R116225.1.1,1955
R116234.1.1,1971
R1162351.1.1,1992
R1162351.2.1,1992
R1162351.2.2,1992
R116243.1.1,1917
R116243.1.2,1917
R116252.1.1,1989
R116270.1.1,1960
R116289.1.1,1968
R116305.1.1,1955
R116305.2.1,1960
R116323.1.1,1941
R1163261.1.1,1997
R1163261.2.1,1988
R1163298.1.1,1960
R116378.1.1,1950
R116378.2.1,2005
R116387.1.1,1950
R116396.1.1,1969
R116403.1.1,1958
R116412.1.1,1984
R116421.1.1,1984
R116430.1.1,1984
R116458.1.1,2002
R116467.1.1,1958
R116476.1.1,1952
R116500.1.1,1934
R116519.1.1,1949
R116528.1.1,1948
R116537.1.1,1948
R1165385.1.1,1979
R116546.1.1,1940
R1165508.1.1,1980
R116555.1.1,1926
R116564.1.1,1915
R1165642.1.1,1979
R116573.1.1,1951
R116591.1.1,1951
R1165973.1.1,1981
R1166115.1.1,2010
R116635.1.1,1963
R116644.1.1,1970
R116662.1.1,1965
R116671.1.1,1979
R1166865.1.1,1930
R1166865.1.3,1930
R1166865.1.4,1930
R1166972.1.1,1948
R1167052.1.1,1979
R116706.1.1,1964
R116715.1.1,1947
R116724.1.1,1954
R116733.1.1,1950
R116751.1.1,1955
R116760.1.1,1957
R116779.1.1,1964
R116788.1.1,1961
R116797.1.1,1986
R116804.1.1,1986
R116813.1.1,1982
R116822.1.1,1980
R116822.1.2,1980
R116831.1.1,1984
R116840.1.1,1978
R116886.1.1,1974
R116895.1.1,1945
R116895.1.2,1945
R116911.1.1,1935
R116911.1.2,1994
R116920.1.1,1951
R116966.1.1,1920
R116966.1.3,1920
R117171.1.1,1925
R117171.1.2,1925
R117180.1.1,1925
R117180.1.2,1925
R117304.1.1,1945
R117304.1.2,1945
R117304.1.3,1945
R117313.1.1,1940
R117313.1.3,1940
R117313.1.4,1940
R117322.1.1,1971
R117331.1.1,1957
R117340.1.1,1942
R117340.1.3,1942
R117340.1.6,1942
R117359.1.1,1962
R117368.1.1,1935
R1174678.1.1,1966
R1174703.1.1,1982
R117484.1.1,2000
R117545.1.1,1985
R117581.1.1,1971
R117643.1.1,1935
R117643.2.1,1998
R117661.1.1,1991
R117812.1.1,1935
R117812.1.2,1935
R117910.1.1,1981
R117929.1.1,1977
R117938.1.1,1987
R117947.1.1,1985
R117956.1.1,1979
R117992.1.1,1979
R118045.1.1,1980
R118054.1.1,1984
R118063.1.1,1979
R118072.1.1,1969
R118866.1.1,1965
R119133.1.1,1965
R119133.2.1,1948
R119133.3.1,1960
R1191800.1.1,1940
R119204.1.1,1985
R1194317.1.1,1980
R1195986.1.1,1980
R1197172.1.1,2000
R1198796.1.1,1989
R1198796.1.2,1989
R1198796.1.3,1989
R1198812.1.1,1984
R1199526.1.1,1979
R1199526.1.2,1979
R1199535.1.1,1986
R1199973.1.1,1942
R1200257.1.1,1969
R1201185.1.1,1979
R1201201.1.1,1979
R1201210.1.1,1983
R1201210.1.3,1983
R120363.1.1,1980
R120381.1.1,1962
R120390.1.1,1977
R1204333.3.1,2007
R1204841.1.1,2004
R1205163.2.1,1986
R1205608.1.1,1985
R1206527.1.1,1999
R1210852.1.1,2007
R1210861.1.1,1982
R1210889.1.1,1980
R1210905.1.1,2000
R121184.1.1,1987
R121193.1.1,2004
R121200.1.1,1968
R1212850.1.1,1940
R1216419.1.1,1987
R1216419.2.1,1987
R1223287.1.1,1988
R1223296.1.1,1983
R122361.2.1,1940
R122370.2.1,1960
R1224776.1.1,1981
R1224776.3.1,1998
R1224776.4.1,1981
R1224954.1.1,1981
R1225597.1.1,1981
R1231964.1.1,2002
R1232507.1.1,1980
R1232507.1.4,1980
R1233249.1.1,1980
R1233775.1.1,1989
R1233882.1.1,1981
R1233891.1.1,1974
R1235229.1.1,1983
R1235595.1.1,1977
R1235595.1.2,1910
R1235602.1.1,1920
R123574.1.1,1960
R123583.1.1,1967
R123592.1.1,1950
R123609.1.1,1962
R123618.1.1,1954
R123636.1.1,1951
R123654.1.1,1950
R123672.1.1,1945
R123672.1.3,1967
R123681.1.1,1957
R123716.1.1,1976
R1237183.1.1,2000
R123725.1.1,1959
R123734.1.1,1967
R123734.1.4,1967
R123743.1.1,1974
R123752.1.1,1972
R123770.1.1,1967
R123798.1.1,1967
R123798.1.3,1967
R123798.1.4,1967
R123805.1.1,1967
R123814.1.1,1962
R1238217.1.1,1991
R1238262.1.1,1993
R1238280.1.1,1984
R123869.1.1,1965
R123869.1.2,1979
R123887.1.1,1945
R123912.1.1,1965
R123921.1.1,1970
R1239252.1.1,1966
R123958.1.1,1961
R123967.1.1,1960
R123994.1.1,1925
R1240008.1.1,1985
R124001.1.1,1985
R124001.2.1,1956
R1240017.1.1,1988
R1240017.1.6,1988
R1240026.1.1,1993
R1240044.1.1,2006
R1240053.1.1,1988
R1240099.1.1,1988
R124029.1.1,1926
R124038.1.1,1958
R124056.1.1,1980
R124065.1.1,1948
R124065.1.3,1948
R124074.1.1,1970
R124083.1.1,1943
R124136.1.1,1946
R124145.1.1,1946
R124145.2.1,1946
R1241481.1.1,1974
R1241515.1.1,1981
R1241711.1.1,1996
R124216.1.1,1991
R124243.1.1,1991
R124252.1.1,1964
R124261.1.1,1940
R124261.1.3,1940
R124270.1.1,1975
R124298.1.1,1975
R124298.1.4,1988
R124387.1.1,1945
R124412.1.1,1972
R124430.1.1,1985
R124449.1.1,1985
R124458.1.1,1985
R124476.1.1,1963
R124528.1.1,1956
R124537.1.1,1942
R124546.1.1,1920
R1246360.1.1,1980
R1246529.1.1,1978
R1247396.1.1,1979
R1252236.1.1,1982
R125251.1.1,1969
R125260.1.1,1956
R125288.1.1,1954
R125297.1.1,1954
R125304.1.1,1914
R125313.1.1,1910
R125331.1.1,1955
R125340.1.1,1948
R125359.1.1,1924
R125368.1.1,1940
R1253814.1.1,1978
R1254528.1.1,1981
R125457.1.1,1984
R125475.1.1,1958
R125484.1.1,1989
R125509.1.1,1989
R125545.1.1,1962
R125581.1.1,1915
R125634.1.1,1937
R125670.1.1,1958
R125689.1.1,1920
R125698.1.1,1960
R125698.2.1,1960
R125723.1.1,1947
R125723.1.3,1947
R125732.1.1,1920
R125732.1.3,2006
R125741.1.1,1900
R125750.1.1,1950
R125769.1.1,1928
R125778.1.1,1967
R125778.2.1,1967
R125787.1.1,1954
R125796.1.1,1969
R125803.1.1,1969
R125821.1.1,1930
R125821.1.2,1930
R125821.1.4,1930
R125858.1.1,1960
R125867.1.1,1940
R125894.1.1,1949
R125901.1.1,1900
R125910.1.1,1930
R125929.1.1,2008
R125938.1.1,1916
R125938.1.5,1916
R125965.1.1,1951
R125974.1.1,1938
R126018.1.1,1956
R126027.1.1,1930
R126090.1.1,1925
R126090.1.3,1925
R126125.1.1,1959
R126143.1.1,1955
R126250.1.1,1950
R126250.1.3,1950
R1262760.1.1,1981
R126278.1.1,2003
R1262822.1.1,1983
R1262911.1.1,1967
R1262920.1.1,1981
R1262966.1.1,1983
R126312.1.1,2008
R1263215.1.1,1966
R1263402.1.1,1999
R126401.1.1,1915
R126401.1.3,1994
R126401.1.4,1994
R126401.1.5,1994
R126401.1.6,1994
R126401.2.1,1938
R1264615.1.1,1980
R126483.1.1,1950
R126483.1.2,1950
R126492.1.1,1979
R126492.1.2,1979
R126492.1.3,1979
R126492.2.1,2003
R126517.1.1,1974
R126517.1.8,1974
R126535.1.1,1977
R126535.2.1,1977
R126553.1.1,1985
R126731.1.1,1955
R126820.1.1,1976
R126839.1.1,1963
R126848.1.1,1987
R126848.1.2,1987
R126884.1.1,1978
R1270528.1.1,1983
R127062.1.1,1988
R1273115.1.1,1979
R1274150.1.1,2004
R127534.1.1,1948
R127534.1.2,1948
R127534.1.3,1948
R127534.2.1,1950
R127534.2.2,1950
R1276979.1.1,1978
R1277399.1.1,2009
R1278067.1.1,1984
R1281133.1.1,1920
R1281464.1.1,1983
R1281865.1.1,1979
R1282677.1.1,2007
R1282677.2.1,2007
R128392.1.1,1951
R128436.1.1,1989
R128445.1.1,1989
R128454.1.1,1988
R128481.1.1,1963
R128490.1.1,1978
R128659.1.1,1999
R128659.1.2,1999
R1291854.1.1,1959
R1291854.1.2,1959
R1291952.1.1,1980
R1292611.2.1,1960
R1292611.2.2,1989
R1292611.3.1,1986
R1294094.1.1,1983
R1294094.2.1,1983
R1294691.1.1,2007
R1294726.1.1,1920
R1294762.1.1,1970
R1294762.1.2,1973
R1294762.1.3,1973
R1294762.1.4,1970
R1295182.1.1,1975
R1295404.1.1,1982
R1295529.1.1,1997
R1295547.1.1,1989
R1295547.1.2,1989
R1295547.1.3,1989
R1295547.1.4,1989
R1295547.1.5,1989
R1295547.1.6,1989
R1295547.1.7,1989
R1295547.1.8,1989
R1295556.1.1,1989
R1295556.2.1,1989
